,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro06_M001.wav,e3,ALRIGHT .
4172,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_impro05_M025.wav,e0,IT'S A . GIFT .
4007,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_script02_2_F037.wav,e3,I DIDN'T SAY THAT .
3903,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro03_M003.wav,e1,HOLY  SHIT THAT'S AMAZING .
5044,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_script01_2_F010.wav,e3,MY WORST TIMES I  THINK ABOUT HER YOU KNOW AND I .
3009,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_script01_1_F033.wav,e0,JUST GIVE IT SOME MORE THOUGHT .
4865,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro06_F021.wav,e3,IT'S REALLY BIZARRE YOU KNOW WHEN YOU KNOW SOMEBODY REALLY WELL AND THEN .
5036,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_script03_2_M045.wav,e2,YOU'RE A  WICKED LITTLE VAMPIRE AND I PRAY TO GOD I NEVER SET EYES ON YOU AGAIN AS LONG AS I LIVE .
4592,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_script01_3_F012.wav,e1,EVERY DAY SINCE .
1920,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro03_F010.wav,e1,{LG} SO NASTY NO  YOU DIRTY ME .
425,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_script02_1_F012.wav,e0,I JUST DON'T .
1915,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_impro06_M010.wav,e3,YOU KNOW SOMETIMES YOU THINK  YOU . WANT TO MAKE THAT PHONE CALL OR YOU THINK YOU WANT TO TELL SOMEBODY SOMETHING OR SOMETHING LIKE THAT DO YOU KNOW WHAT I MEAN  LIKE THAT'S HE WAS THE PERSON THAT I DID THAT WITH YOU KNOW LIKE  THAT'S THE PERSON WHO I NEEDED TO CALL TO TELL THINGS TO ALL THE TIME .
2183,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_impro05_M009.wav,e2,FIFTY DOLLARS . NO WAY . NO .
5380,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_script01_1_M035.wav,e2,THE BUSINESS THE BUSINESS  IT  DOESN'T INSPIRE ME .
4228,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_impro07_F005.wav,e1,I KNOW WE SHOULD  THROW A PARTY .
2704,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_impro07_M002.wav,e1,YES I JUST FOUND OUT TODAY I JUST GOT THE LETTER .
2686,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_script03_1_F027.wav,e1,THAT WAS THE FIRST TIME YOU EVER HIT ME .
1645,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_script02_1_M037.wav,e0,WE JUST WEREN'T IN A GOOD SPOT THOUGH .
4449,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_script03_1_M018.wav,e1,WHO KNOWS .
2740,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_impro08_F007.wav,e0,HMM MMM .
5178,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_script03_1_M015.wav,e1,WHO KNOWS .
4534,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_impro05_F000.wav,e0,HI CAN I HELP YOU .
4269,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_script01_1_M016.wav,e0,YOU KNOW IT'S NOT JUST MY BUSINESS .
3399,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro02_F029.wav,e3,WE'LL FIGURE SOMETHING OUT WE JUST HAVE TO WE  JUST HAVE TO THINK ABOUT THIS . COULD ANY OF YOUR FAMILY HELP US .
3825,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_script03_2_F024.wav,e2,MIND YOUR OWN BUSINESS .
287,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_script03_2_F034.wav,e2,TURN IT ON AGAIN  PLEASE .
3819,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro02_M003.wav,e3,THEY NEED ME OUT THERE . SOONER THAN I THOUGHT .
5488,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro06_M000.wav,e3,HEY I'M UH . I'M REALLY SORRY  ABOUT WHAT HAPPENED  I DON'T UM  I MEAN WHAT YOU CAN YOU DO . I MEAN IT'S .
